text,label,clear_text,bigram_text
Прорвём информационную блокаду изнутри. ,neutral,"['прорвать', 'информационный', 'блокада', 'изнутри']","['прорвать', 'информационный', 'блокада', 'изнутри']"
"Никогда у меня не будет ""одного приложения для всего"". В топку эти ущербные универсальности.",negative,"['никогда', 'один', 'приложение', 'топка', 'ущербный', 'универсальность']","['никогда', 'один', 'приложение', 'топка', 'ущербный', 'универсальность']"
"Есть 3 типа людей:
Умные, которые делают все сразу.
Умные, которые откладывают на потом и доделывают.
И Я...сначала впадлу потом поздно",neutral,"['быть', 'тип', 'человек', 'умный', 'который', 'делать', 'сразу', 'умный', 'который', 'откладывать', 'доделывать', 'сначала', 'впадло', 'поздно']","['быть', 'тип', 'человек', 'умный', 'который', 'делать', 'сразу', 'умный', 'который', 'откладывать', 'доделывать', 'сначала', 'впадло', 'поздно']"
мегафон чет накрыло,neutral,"['мегафон', 'чета', 'накрывать']","['мегафон', 'чета', 'накрывать']"
Шах и мат.,neutral,"['шах', 'мат']","['шах', 'мат']"
"Просто в дрожь бросает. Как можно быть такими тупыми? 
От хохлянских фразочек я офигеваю, а от школярского голоса да и этих кортавых фраз я вообще херею..",negative,"['просто', 'дрожь', 'бросать', 'как', 'такой', 'тупой', 'от', 'хохлянский', 'фразочка', 'офигевать', 'школярский', 'голос', 'этот', 'кортавых', 'фраза', 'вообще', 'херея']","['просто', 'дрожь', 'бросать', 'как', 'такой', 'тупой', 'от', 'хохлянский', 'фразочка', 'офигевать', 'школярский', 'голос', 'этот', 'кортавых', 'фраза', 'вообще', 'херея']"
"косяк, я соскучилась по тебе (",positive,"['косяк', 'соскучиться', 'ты']","['косяк', 'соскучиться', 'ты']"
Плсторел :'(,negative,['плстореть'],['плстореть']
бляять да забей ты ужеееееее!!!!!,negative,"['бляять', 'забивать', 'ужеееееее']","['бляять', 'забивать', 'ужеееееее']"
"Нам так мало лет, а мы уже по горло сыты этим миром.(с)",negative,"['мы', 'мало', 'год', 'горло', 'сытый', 'этот', 'мир']","['мы', 'мало', 'год', 'горло', 'сытый', 'этот', 'мир']"
